"","gene_symbol","accession","description","fasta_title_lines","ensembl_gene_id"
"1","Ttn","A2ASS6","Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1",">sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","ENSMUSG00000051747"
"96","Fh","P97807","Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh PE=1 SV=3",">sp|P97807|FUMH_MOUSE Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh PE=1 SV=3","ENSMUSG00000026526"
"97","Srrm2","Q8BTI8","Serine/arginine repetitive matrix protein 2 OS=Mus musculus OX=10090 GN=Srrm2 PE=1 SV=3",">sp|Q8BTI8|SRRM2_MOUSE Serine/arginine repetitive matrix protein 2 OS=Mus musculus OX=10090 GN=Srrm2 PE=1 SV=3","ENSMUSG00000039218"
"98","Hsp90ab1","P11499","Heat shock protein HSP 90-beta OS=Mus musculus OX=10090 GN=Hsp90ab1 PE=1 SV=3",">sp|P11499|HS90B_MOUSE Heat shock protein HSP 90-beta OS=Mus musculus OX=10090 GN=Hsp90ab1 PE=1 SV=3","ENSMUSG00000023944"
"99","Ablim1","E9Q9C1","Actin-binding LIM protein 1 OS=Mus musculus OX=10090 GN=Ablim1 PE=1 SV=1",">tr|E9Q9C1|E9Q9C1_MOUSE Actin-binding LIM protein 1 OS=Mus musculus OX=10090 GN=Ablim1 PE=1 SV=1","ENSMUSG00000025085"
"100","Hspa9","P38647","Stress-70 protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspa9 PE=1 SV=3",">sp|P38647|GRP75_MOUSE Stress-70 protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspa9 PE=1 SV=3","ENSMUSG00000024359"
"101","Dst","S4R1P5","Dystonin OS=Mus musculus OX=10090 GN=Dst PE=1 SV=1",">tr|S4R1P5|S4R1P5_MOUSE Dystonin OS=Mus musculus OX=10090 GN=Dst PE=1 SV=1","ENSMUSG00000026131"
"102","Eno3","P21550","Beta-enolase OS=Mus musculus OX=10090 GN=Eno3 PE=1 SV=3",">sp|P21550|ENOB_MOUSE Beta-enolase OS=Mus musculus OX=10090 GN=Eno3 PE=1 SV=3","ENSMUSG00000060600"
"103","Sorbs1","E9Q6A3","Sorbin and SH3 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sorbs1 PE=1 SV=1",">tr|E9Q6A3|E9Q6A3_MOUSE Sorbin and SH3 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sorbs1 PE=1 SV=1","ENSMUSG00000025006"
"104","Ckm","P07310","Creatine kinase M-type OS=Mus musculus OX=10090 GN=Ckm PE=1 SV=1",">sp|P07310|KCRM_MOUSE Creatine kinase M-type OS=Mus musculus OX=10090 GN=Ckm PE=1 SV=1","ENSMUSG00000030399"
"105","Sdha","Q8K2B3","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus OX=10090 GN=Sdha PE=1 SV=1",">sp|Q8K2B3|SDHA_MOUSE Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus OX=10090 GN=Sdha PE=1 SV=1","ENSMUSG00000021577"
"106","Ablim1","E9QK41","Actin-binding LIM protein 1 OS=Mus musculus OX=10090 GN=Ablim1 PE=1 SV=1",">tr|E9QK41|E9QK41_MOUSE Actin-binding LIM protein 1 OS=Mus musculus OX=10090 GN=Ablim1 PE=1 SV=1","ENSMUSG00000025085"
"107","Ank2","S4R2R5","Ankyrin-2 OS=Mus musculus OX=10090 GN=Ank2 PE=1 SV=3",">tr|S4R2R5|S4R2R5_MOUSE Ankyrin-2 OS=Mus musculus OX=10090 GN=Ank2 PE=1 SV=3","ENSMUSG00000032826"
"108","Lonp1","Q8CGK3","Lon protease homolog, mitochondrial OS=Mus musculus OX=10090 GN=Lonp1 PE=1 SV=2",">sp|Q8CGK3|LONM_MOUSE Lon protease homolog, mitochondrial OS=Mus musculus OX=10090 GN=Lonp1 PE=1 SV=2","ENSMUSG00000041168"
"109","Lrpprc","Q6PB66","Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus OX=10090 GN=Lrpprc PE=1 SV=2",">sp|Q6PB66|LPPRC_MOUSE Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus OX=10090 GN=Lrpprc PE=1 SV=2","ENSMUSG00000024120"
"110","Lmna","P48678","Prelamin-A/C OS=Mus musculus OX=10090 GN=Lmna PE=1 SV=2",">sp|P48678|LMNA_MOUSE Prelamin-A/C OS=Mus musculus OX=10090 GN=Lmna PE=1 SV=2","ENSMUSG00000028063"
"111","Vwa8","Q8CC88","von Willebrand factor A domain-containing protein 8 OS=Mus musculus OX=10090 GN=Vwa8 PE=1 SV=2",">sp|Q8CC88|VWA8_MOUSE von Willebrand factor A domain-containing protein 8 OS=Mus musculus OX=10090 GN=Vwa8 PE=1 SV=2","ENSMUSG00000058997"
"112","Nrap","Q80XB4","Nebulin-related-anchoring protein OS=Mus musculus OX=10090 GN=Nrap PE=1 SV=3",">sp|Q80XB4|NRAP_MOUSE Nebulin-related-anchoring protein OS=Mus musculus OX=10090 GN=Nrap PE=1 SV=3","ENSMUSG00000049134"
"113","Sorbs2","A0A0R4J1W0","Sorbin and SH3 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Sorbs2 PE=1 SV=1",">tr|A0A0R4J1W0|A0A0R4J1W0_MOUSE Sorbin and SH3 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Sorbs2 PE=1 SV=1","ENSMUSG00000031626"
"114","Pkm","P52480","Pyruvate kinase PKM OS=Mus musculus OX=10090 GN=Pkm PE=1 SV=4",">sp|P52480|KPYM_MOUSE Pyruvate kinase PKM OS=Mus musculus OX=10090 GN=Pkm PE=1 SV=4","ENSMUSG00000032294"
"115","Hadhb","Q99JY0","Trifunctional enzyme subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Hadhb PE=1 SV=1",">sp|Q99JY0|ECHB_MOUSE Trifunctional enzyme subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Hadhb PE=1 SV=1","ENSMUSG00000059447"
"116","Plin4","A0A571BEC9","Perilipin-4 OS=Mus musculus OX=10090 GN=Plin4 PE=1 SV=1",">tr|A0A571BEC9|A0A571BEC9_MOUSE Perilipin-4 OS=Mus musculus OX=10090 GN=Plin4 PE=1 SV=1","ENSMUSG00000002831"
"117","Synpo2","E9Q1U2","Synaptopodin-2 OS=Mus musculus OX=10090 GN=Synpo2 PE=1 SV=1",">tr|E9Q1U2|E9Q1U2_MOUSE Synaptopodin-2 OS=Mus musculus OX=10090 GN=Synpo2 PE=1 SV=1","ENSMUSG00000050315"
"118","Srl","Q7TQ48","Sarcalumenin OS=Mus musculus OX=10090 GN=Srl PE=1 SV=2",">sp|Q7TQ48|SRCA_MOUSE Sarcalumenin OS=Mus musculus OX=10090 GN=Srl PE=1 SV=2","ENSMUSG00000022519"
"119","Ctnna1","P26231","Catenin alpha-1 OS=Mus musculus OX=10090 GN=Ctnna1 PE=1 SV=1",">sp|P26231|CTNA1_MOUSE Catenin alpha-1 OS=Mus musculus OX=10090 GN=Ctnna1 PE=1 SV=1","ENSMUSG00000037815"
"120","Synpo2","Q91YE8","Synaptopodin-2 OS=Mus musculus OX=10090 GN=Synpo2 PE=1 SV=2",">sp|Q91YE8|SYNP2_MOUSE Synaptopodin-2 OS=Mus musculus OX=10090 GN=Synpo2 PE=1 SV=2","ENSMUSG00000050315"
"121","Ablim1","E9Q9C7","Actin-binding LIM protein 1 OS=Mus musculus OX=10090 GN=Ablim1 PE=1 SV=1",">tr|E9Q9C7|E9Q9C7_MOUSE Actin-binding LIM protein 1 OS=Mus musculus OX=10090 GN=Ablim1 PE=1 SV=1","ENSMUSG00000025085"
"122","Synpo","E9Q3E2","Synaptopodin OS=Mus musculus OX=10090 GN=Synpo PE=1 SV=1",">tr|E9Q3E2|E9Q3E2_MOUSE Synaptopodin OS=Mus musculus OX=10090 GN=Synpo PE=1 SV=1","ENSMUSG00000043079"
"123","Actb","P60710","Actin, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1",">sp|P60710|ACTB_MOUSE Actin, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1","ENSMUSG00000029580"
"124","Ldb3","E9PYJ9","LIM domain-binding protein 3 OS=Mus musculus OX=10090 GN=Ldb3 PE=1 SV=1",">tr|E9PYJ9|E9PYJ9_MOUSE LIM domain-binding protein 3 OS=Mus musculus OX=10090 GN=Ldb3 PE=1 SV=1","ENSMUSG00000021798"
"125","Vcp","Q01853","Transitional endoplasmic reticulum ATPase OS=Mus musculus OX=10090 GN=Vcp PE=1 SV=4",">sp|Q01853|TERA_MOUSE Transitional endoplasmic reticulum ATPase OS=Mus musculus OX=10090 GN=Vcp PE=1 SV=4","ENSMUSG00000028452"
"126","Synpo","Q8CC35","Synaptopodin OS=Mus musculus OX=10090 GN=Synpo PE=1 SV=2",">sp|Q8CC35|SYNPO_MOUSE Synaptopodin OS=Mus musculus OX=10090 GN=Synpo PE=1 SV=2","ENSMUSG00000043079"
"127","Hspa8","P63017","Heat shock cognate 71 kDa protein OS=Mus musculus OX=10090 GN=Hspa8 PE=1 SV=1",">sp|P63017|HSP7C_MOUSE Heat shock cognate 71 kDa protein OS=Mus musculus OX=10090 GN=Hspa8 PE=1 SV=1","ENSMUSG00000015656"
"128","Pdlim5","D9J302","ENH isoform 1e OS=Mus musculus OX=10090 GN=Pdlim5 PE=1 SV=1",">tr|D9J302|D9J302_MOUSE ENH isoform 1e OS=Mus musculus OX=10090 GN=Pdlim5 PE=1 SV=1","ENSMUSG00000028273"
"129","C3","P01027","Complement C3 OS=Mus musculus OX=10090 GN=C3 PE=1 SV=3",">sp|P01027|CO3_MOUSE Complement C3 OS=Mus musculus OX=10090 GN=C3 PE=1 SV=3","ENSMUSG00000024164"
"130","Cltc","Q68FD5","Clathrin heavy chain 1 OS=Mus musculus OX=10090 GN=Cltc PE=1 SV=3",">sp|Q68FD5|CLH1_MOUSE Clathrin heavy chain 1 OS=Mus musculus OX=10090 GN=Cltc PE=1 SV=3","ENSMUSG00000047126"
"131","Tpm1","B7ZNL3","Tpm1 protein OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1",">tr|B7ZNL3|B7ZNL3_MOUSE Tpm1 protein OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1","ENSMUSG00000032366"
"132","Nrap","E9Q641","Nebulin-related-anchoring protein OS=Mus musculus OX=10090 GN=Nrap PE=1 SV=1",">tr|E9Q641|E9Q641_MOUSE Nebulin-related-anchoring protein OS=Mus musculus OX=10090 GN=Nrap PE=1 SV=1","ENSMUSG00000049134"
"133","Tf","Q921I1","Serotransferrin OS=Mus musculus OX=10090 GN=Tf PE=1 SV=1",">sp|Q921I1|TRFE_MOUSE Serotransferrin OS=Mus musculus OX=10090 GN=Tf PE=1 SV=1","ENSMUSG00000032554"
"134","Myl3","P09542","Myosin light chain 3 OS=Mus musculus OX=10090 GN=Myl3 PE=1 SV=4",">sp|P09542|MYL3_MOUSE Myosin light chain 3 OS=Mus musculus OX=10090 GN=Myl3 PE=1 SV=4","ENSMUSG00000059741"
"135","Idh2","P54071","Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus OX=10090 GN=Idh2 PE=1 SV=3",">sp|P54071|IDHP_MOUSE Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus OX=10090 GN=Idh2 PE=1 SV=3","ENSMUSG00000030541"
"136","Hrc","G5E8J6","Histidine-rich calcium-binding protein OS=Mus musculus OX=10090 GN=Hrc PE=1 SV=1",">tr|G5E8J6|G5E8J6_MOUSE Histidine-rich calcium-binding protein OS=Mus musculus OX=10090 GN=Hrc PE=1 SV=1","ENSMUSG00000038239"
"137","Mylk3","Q3UIZ8","Myosin light chain kinase 3 OS=Mus musculus OX=10090 GN=Mylk3 PE=1 SV=1",">sp|Q3UIZ8|MYLK3_MOUSE Myosin light chain kinase 3 OS=Mus musculus OX=10090 GN=Mylk3 PE=1 SV=1","ENSMUSG00000031698"
"138","Pgk1","P09411","Phosphoglycerate kinase 1 OS=Mus musculus OX=10090 GN=Pgk1 PE=1 SV=4",">sp|P09411|PGK1_MOUSE Phosphoglycerate kinase 1 OS=Mus musculus OX=10090 GN=Pgk1 PE=1 SV=4","ENSMUSG00000062070"
"139","Pkp2","Q9CQ73","Plakophilin 2 OS=Mus musculus OX=10090 GN=Pkp2 PE=1 SV=1",">tr|Q9CQ73|Q9CQ73_MOUSE Plakophilin 2 OS=Mus musculus OX=10090 GN=Pkp2 PE=1 SV=1","ENSMUSG00000041957"
"140","Pdha1","P35486","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Mus musculus OX=10090 GN=Pdha1 PE=1 SV=1",">sp|P35486|ODPA_MOUSE Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Mus musculus OX=10090 GN=Pdha1 PE=1 SV=1","ENSMUSG00000031299"
"141","Jph2","Q9ET78","Junctophilin-2 OS=Mus musculus OX=10090 GN=Jph2 PE=1 SV=2",">sp|Q9ET78|JPH2_MOUSE Junctophilin-2 OS=Mus musculus OX=10090 GN=Jph2 PE=1 SV=2","ENSMUSG00000017817"
"142","Lamb1","E9QN70","Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=1",">tr|E9QN70|E9QN70_MOUSE Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=1","ENSMUSG00000002900"
"143","Lamb2","Q61292","Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2",">sp|Q61292|LAMB2_MOUSE Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2","ENSMUSG00000052911"
"144","Anxa6","P14824","Annexin A6 OS=Mus musculus OX=10090 GN=Anxa6 PE=1 SV=3",">sp|P14824|ANXA6_MOUSE Annexin A6 OS=Mus musculus OX=10090 GN=Anxa6 PE=1 SV=3","ENSMUSG00000018340"
"145","Eef1a2","P62631","Elongation factor 1-alpha 2 OS=Mus musculus OX=10090 GN=Eef1a2 PE=1 SV=1",">sp|P62631|EF1A2_MOUSE Elongation factor 1-alpha 2 OS=Mus musculus OX=10090 GN=Eef1a2 PE=1 SV=1","ENSMUSG00000016349"
"146","Myh6","A0A2I3BPY4","Myosin-6 (Fragment) OS=Mus musculus OX=10090 GN=Myh6 PE=1 SV=1",">tr|A0A2I3BPY4|A0A2I3BPY4_MOUSE Myosin-6 (Fragment) OS=Mus musculus OX=10090 GN=Myh6 PE=1 SV=1","ENSMUSG00000040752"
"147","Immt","A0A0U1RP81","MICOS complex subunit MIC60 OS=Mus musculus OX=10090 GN=Immt PE=1 SV=1",">tr|A0A0U1RP81|A0A0U1RP81_MOUSE MICOS complex subunit MIC60 OS=Mus musculus OX=10090 GN=Immt PE=1 SV=1","ENSMUSG00000052337"
"148","Tpm1","E9Q456","Tropomyosin alpha-1 chain OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1",">tr|E9Q456|E9Q456_MOUSE Tropomyosin alpha-1 chain OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1","ENSMUSG00000032366"
"149","Cavin2","Q63918","Caveolae-associated protein 2 OS=Mus musculus OX=10090 GN=Cavin2 PE=1 SV=3",">sp|Q63918|CAVN2_MOUSE Caveolae-associated protein 2 OS=Mus musculus OX=10090 GN=Cavin2 PE=1 SV=3","ENSMUSG00000045954"
"150","Hbb-bs","A8DUK4","Beta-globin OS=Mus musculus OX=10090 GN=Hbb-bs PE=1 SV=1",">tr|A8DUK4|A8DUK4_MOUSE Beta-globin OS=Mus musculus OX=10090 GN=Hbb-bs PE=1 SV=1","ENSMUSG00000052305; ENSMUSG00000073940"
"151","Acsl1","D3Z041","Long-chain-fatty-acid--CoA ligase 1 OS=Mus musculus OX=10090 GN=Acsl1 PE=1 SV=1",">tr|D3Z041|D3Z041_MOUSE Long-chain-fatty-acid--CoA ligase 1 OS=Mus musculus OX=10090 GN=Acsl1 PE=1 SV=1","ENSMUSG00000018796"
"152","Eef2","P58252","Elongation factor 2 OS=Mus musculus OX=10090 GN=Eef2 PE=1 SV=2",">sp|P58252|EF2_MOUSE Elongation factor 2 OS=Mus musculus OX=10090 GN=Eef2 PE=1 SV=2","ENSMUSG00000034994"
"153","Acat1","Q8QZT1","Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Acat1 PE=1 SV=1",">sp|Q8QZT1|THIL_MOUSE Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Acat1 PE=1 SV=1","ENSMUSG00000032047"
"154","Anxa6","F8WIT2","Annexin OS=Mus musculus OX=10090 GN=Anxa6 PE=1 SV=1",">tr|F8WIT2|F8WIT2_MOUSE Annexin OS=Mus musculus OX=10090 GN=Anxa6 PE=1 SV=1","ENSMUSG00000018340"
"155","Opa1","P58281","Dynamin-like 120 kDa protein, mitochondrial OS=Mus musculus OX=10090 GN=Opa1 PE=1 SV=1",">sp|P58281|OPA1_MOUSE Dynamin-like 120 kDa protein, mitochondrial OS=Mus musculus OX=10090 GN=Opa1 PE=1 SV=1","ENSMUSG00000038084"
"156","Eno1","P17182","Alpha-enolase OS=Mus musculus OX=10090 GN=Eno1 PE=1 SV=3",">sp|P17182|ENOA_MOUSE Alpha-enolase OS=Mus musculus OX=10090 GN=Eno1 PE=1 SV=3","ENSMUSG00000059040; ENSMUSG00000063524"
"157","Agl","F8VPN4","4-alpha-glucanotransferase OS=Mus musculus OX=10090 GN=Agl PE=1 SV=1",">tr|F8VPN4|F8VPN4_MOUSE 4-alpha-glucanotransferase OS=Mus musculus OX=10090 GN=Agl PE=1 SV=1","ENSMUSG00000033400"
"158","Got2","P05202","Aspartate aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Got2 PE=1 SV=1",">sp|P05202|AATM_MOUSE Aspartate aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Got2 PE=1 SV=1","ENSMUSG00000031672"
"159","Sptb","Q3UGX2","Spectrin beta chain OS=Mus musculus OX=10090 GN=Sptb PE=1 SV=1",">tr|Q3UGX2|Q3UGX2_MOUSE Spectrin beta chain OS=Mus musculus OX=10090 GN=Sptb PE=1 SV=1","ENSMUSG00000021061"
"160","Pzp","Q61838","Pregnancy zone protein OS=Mus musculus OX=10090 GN=Pzp PE=1 SV=3",">sp|Q61838|PZP_MOUSE Pregnancy zone protein OS=Mus musculus OX=10090 GN=Pzp PE=1 SV=3","ENSMUSG00000030359"
"161","Clip1","F8WIA1","CAP-Gly domain-containing linker protein 1 OS=Mus musculus OX=10090 GN=Clip1 PE=1 SV=1",">tr|F8WIA1|F8WIA1_MOUSE CAP-Gly domain-containing linker protein 1 OS=Mus musculus OX=10090 GN=Clip1 PE=1 SV=1","ENSMUSG00000049550"
"162","Map4","A0A0G2JFH2","Microtubule-associated protein (Fragment) OS=Mus musculus OX=10090 GN=Map4 PE=1 SV=1",">tr|A0A0G2JFH2|A0A0G2JFH2_MOUSE Microtubule-associated protein (Fragment) OS=Mus musculus OX=10090 GN=Map4 PE=1 SV=1","ENSMUSG00000032479"
"163","Actn4","P57780","Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1",">sp|P57780|ACTN4_MOUSE Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1","ENSMUSG00000054808"
"164","Mlip","V9GWW6","Muscular LMNA-interacting protein OS=Mus musculus OX=10090 GN=Mlip PE=1 SV=1",">tr|V9GWW6|V9GWW6_MOUSE Muscular LMNA-interacting protein OS=Mus musculus OX=10090 GN=Mlip PE=1 SV=1","ENSMUSG00000032355"
"165","Uba1","Q02053","Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus OX=10090 GN=Uba1 PE=1 SV=1",">sp|Q02053|UBA1_MOUSE Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus OX=10090 GN=Uba1 PE=1 SV=1","ENSMUSG00000001924"
"166","Palld","Q9ET54","Palladin OS=Mus musculus OX=10090 GN=Palld PE=1 SV=2",">sp|Q9ET54|PALLD_MOUSE Palladin OS=Mus musculus OX=10090 GN=Palld PE=1 SV=2","ENSMUSG00000058056"
"167","Macf1","B1ARU4","Microtubule-actin cross-linking factor 1 OS=Mus musculus OX=10090 GN=Macf1 PE=1 SV=1",">tr|B1ARU4|B1ARU4_MOUSE Microtubule-actin cross-linking factor 1 OS=Mus musculus OX=10090 GN=Macf1 PE=1 SV=1","ENSMUSG00000028649"
"168","Actn4","A0A1L1SV25","Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1",">tr|A0A1L1SV25|A0A1L1SV25_MOUSE Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1","ENSMUSG00000054808"
"169","Ehd2","Q8BH64","EH domain-containing protein 2 OS=Mus musculus OX=10090 GN=Ehd2 PE=1 SV=1",">sp|Q8BH64|EHD2_MOUSE EH domain-containing protein 2 OS=Mus musculus OX=10090 GN=Ehd2 PE=1 SV=1","ENSMUSG00000074364"
"170","Lmod2","Q3UHZ5","Leiomodin-2 OS=Mus musculus OX=10090 GN=Lmod2 PE=1 SV=1",">sp|Q3UHZ5|LMOD2_MOUSE Leiomodin-2 OS=Mus musculus OX=10090 GN=Lmod2 PE=1 SV=1","ENSMUSG00000029683"
"171","Etfa","Q99LC5","Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Etfa PE=1 SV=2",">sp|Q99LC5|ETFA_MOUSE Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Etfa PE=1 SV=2","ENSMUSG00000032314"
"172","Jup","Q02257","Junction plakoglobin OS=Mus musculus OX=10090 GN=Jup PE=1 SV=3",">sp|Q02257|PLAK_MOUSE Junction plakoglobin OS=Mus musculus OX=10090 GN=Jup PE=1 SV=3","ENSMUSG00000001552"
"173","Hspa4","Q3U2G2","Heat shock 70 kDa protein 4 OS=Mus musculus OX=10090 GN=Hspa4 PE=1 SV=1",">tr|Q3U2G2|Q3U2G2_MOUSE Heat shock 70 kDa protein 4 OS=Mus musculus OX=10090 GN=Hspa4 PE=1 SV=1","ENSMUSG00000020361"
"174","Sptb","P15508","Spectrin beta chain, erythrocytic OS=Mus musculus OX=10090 GN=Sptb PE=1 SV=4",">sp|P15508|SPTB1_MOUSE Spectrin beta chain, erythrocytic OS=Mus musculus OX=10090 GN=Sptb PE=1 SV=4",""
"175","Nebl","B7ZCI3","Nebulette OS=Mus musculus OX=10090 GN=Nebl PE=1 SV=1",">tr|B7ZCI3|B7ZCI3_MOUSE Nebulette OS=Mus musculus OX=10090 GN=Nebl PE=1 SV=1","ENSMUSG00000053702"
"176","Atp1a2","Q6PIE5","Sodium/potassium-transporting ATPase subunit alpha-2 OS=Mus musculus OX=10090 GN=Atp1a2 PE=1 SV=1",">sp|Q6PIE5|AT1A2_MOUSE Sodium/potassium-transporting ATPase subunit alpha-2 OS=Mus musculus OX=10090 GN=Atp1a2 PE=1 SV=1","ENSMUSG00000007097"
"177","Slc25a12","Q8BH59","Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus OX=10090 GN=Slc25a12 PE=1 SV=1",">sp|Q8BH59|CMC1_MOUSE Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus OX=10090 GN=Slc25a12 PE=1 SV=1","ENSMUSG00000027010"
"178","Actn1","A1BN54","Alpha actinin 1a OS=Mus musculus OX=10090 GN=Actn1 PE=1 SV=1",">tr|A1BN54|A1BN54_MOUSE Alpha actinin 1a OS=Mus musculus OX=10090 GN=Actn1 PE=1 SV=1","ENSMUSG00000015143"
"179","Dld","O08749","Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dld PE=1 SV=2",">sp|O08749|DLDH_MOUSE Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dld PE=1 SV=2","ENSMUSG00000020664"
"180","Aldh6a1","Q9EQ20","Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus OX=10090 GN=Aldh6a1 PE=1 SV=1",">sp|Q9EQ20|MMSA_MOUSE Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus OX=10090 GN=Aldh6a1 PE=1 SV=1","ENSMUSG00000021238"
"181","Sucla2","Q9Z2I9","Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Sucla2 PE=1 SV=2",">sp|Q9Z2I9|SUCB1_MOUSE Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Sucla2 PE=1 SV=2","ENSMUSG00000022110"
"182","Limch1","Q3UH68","LIM and calponin homology domains-containing protein 1 OS=Mus musculus OX=10090 GN=Limch1 PE=1 SV=2",">sp|Q3UH68|LIMC1_MOUSE LIM and calponin homology domains-containing protein 1 OS=Mus musculus OX=10090 GN=Limch1 PE=1 SV=2","ENSMUSG00000037736"
"183","Mdh2","P08249","Malate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Mdh2 PE=1 SV=3",">sp|P08249|MDHM_MOUSE Malate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Mdh2 PE=1 SV=3","ENSMUSG00000019179"
"184","Hsp90aa1","P07901","Heat shock protein HSP 90-alpha OS=Mus musculus OX=10090 GN=Hsp90aa1 PE=1 SV=4",">sp|P07901|HS90A_MOUSE Heat shock protein HSP 90-alpha OS=Mus musculus OX=10090 GN=Hsp90aa1 PE=1 SV=4","ENSMUSG00000021270"
"185","Gpi","P06745","Glucose-6-phosphate isomerase OS=Mus musculus OX=10090 GN=Gpi PE=1 SV=4",">sp|P06745|G6PI_MOUSE Glucose-6-phosphate isomerase OS=Mus musculus OX=10090 GN=Gpi PE=1 SV=4","ENSMUSG00000036427"
"186","Acadl","A0A0R4J083","Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadl PE=1 SV=1",">tr|A0A0R4J083|A0A0R4J083_MOUSE Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadl PE=1 SV=1","ENSMUSG00000026003"
"187","Uqcrc1","Q9CZ13","Cytochrome b-c1 complex subunit 1, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrc1 PE=1 SV=2",">sp|Q9CZ13|QCR1_MOUSE Cytochrome b-c1 complex subunit 1, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrc1 PE=1 SV=2","ENSMUSG00000025651"
"188","Pfkm","P47857","ATP-dependent 6-phosphofructokinase, muscle type OS=Mus musculus OX=10090 GN=Pfkm PE=1 SV=3",">sp|P47857|PFKAM_MOUSE ATP-dependent 6-phosphofructokinase, muscle type OS=Mus musculus OX=10090 GN=Pfkm PE=1 SV=3","ENSMUSG00000033065"
"189","Ablim1","E9Q9D2","Actin-binding LIM protein 1 OS=Mus musculus OX=10090 GN=Ablim1 PE=1 SV=1",">tr|E9Q9D2|E9Q9D2_MOUSE Actin-binding LIM protein 1 OS=Mus musculus OX=10090 GN=Ablim1 PE=1 SV=1","ENSMUSG00000025085"
